,Id,Primary Title,Original Title,Year,Genres,Average Rating,# of Votes
423,tt0107586,Fantasy Romance, Mo hua qing,1990, Fantasy&Romance,5.4,68
424,tt0107692,Ninja Scroll, Jûbê ninpûchô,1993, Action&Adventure&Animation,7.9,34978
425,tt0107904,Thou Shalt Not Swear, Chat yuet sap sei,1993, Horror,6.6,52
426,tt0107906,Two of a Kind, Qing ren zhi ji,1993, Comedy,5.9,14
427,tt0107947,Pink Bomb, Ren sheng de yi shuai jin huan,1993, Action&Comedy,5.2,30
428,tt0108123,Shotgun Wedding, Shotgun Wedding,1993, Crime,5.7,20
429,tt0108145,Sishi puhuo, Sishi puhuo,1992, Drama,7.9,10
430,tt0108148,Iron Monkey, Siu nin Wong Fei Hung chi: Tit ma lau,1993, Action&Crime&Drama,7.5,15515
431,tt0108192,Sopyonje, Seopyeonje,1993, Drama&Music,7.7,882
432,tt0108227,Xinghua san yue tian, Xinghua san yue tian,1994, Drama&Romance,6.5,51
433,tt0108289,Flirting Scholar, Tong Pak Foo dim Chau Heung,1993, Comedy&Romance,7.6,4507
434,tt0108394,Three Colors: Blue, Trois couleurs: Bleu,1993, Drama&Music&Mystery,7.9,91844
435,tt0108509,The Most Terrible Time in My Life, Waga jinsei saiaku no toki,1993, Drama&Thriller,7.0,350
436,tt0108542,Hero Beyond the Boundary of Time, Wai Siu Bo: Fung ji kau lui,1993, Comedy&Fantasy,5.5,229
437,tt0108601,Holy Weapon, Wu xia qi gong zhu,1993, Action&Comedy&Fantasy,5.9,223
438,tt0108602,Wu yan de shan qiu, Wu yan de shan qiu,1992, Drama&History,8.0,235
439,tt0108606,Heroic Trio 2: Executioners, Yin doi hou hap zyun,1993, Action&Sci-Fi&Thriller,5.9,1118
440,tt0108607,The Magic Crane, Xin xian he shen zhen,1993, Action&Fantasy,6.3,314
441,tt0108608,Woman Sesame Oil Maker, Xiang hun nü,1993, Drama,7.3,280
442,tt0108612,The True-Hearted, Xin xiang,1992, Drama&Music,8.0,32
443,tt0108614,Butterfly and Sword, Xin liu xing hu die jian,1993, Action&Adventure&Fantasy,6.0,1112
444,tt0108615,Red Beads, Xuan lian,1994, Drama,6.5,13
445,tt0108624,Kung Fu Cult Master, Yi tin to lung gei: Moh gaau gaau jue,1993, Action&Fantasy&History,6.4,3273
446,tt0108644,Zai na yao yuan de di fang, Zai na yao yuan de di fang,1993, Biography&Drama&Romance,7.1,7
447,tt0108652,Zhao le, Zhao le,1993, Comedy&Drama,6.8,108
448,tt0109010,1942: A Love Story, 1942: A Love Story,1994, Action&Drama&History,7.2,3190
449,tt0109385,Houses of Fire, Casas de fuego,1995, Biography&Drama,6.6,154
450,tt0109393,Bomb Disposal Officer: Baby Bomb, Chak daan juen ga: Bo boi ja daan,1994, Comedy&Crime,5.8,42
451,tt0109418,Chinas First Swordsman, Shen zhou di yi dao,1994, Action&Drama,6.5,8
452,tt0109506,The Crow, The Crow,1994, Action&Drama&Fantasy,7.6,168302
453,tt0109524,Its a Wonderful Life, Dai foo ji ga,1994, Comedy&Family,6.4,217
454,tt0109688,Ashes of Time, Dung che sai duk,1994, Action&Drama,7.1,13738
455,tt0109784,A Feast at Midnight, A Feast at Midnight,1994, Comedy&Drama&Family,6.7,467
456,tt0109946,Shanghai Fever, Gu feng,1994, Drama,7.0,103
457,tt0109948,The Square, Guang Chang,1995, Documentary,7.5,13
458,tt0110007,Hei shan lu, Hei shan lu,1994, Drama,7.6,11
459,tt0110051,Blush, Hong fen,1995, Drama,6.9,129
460,tt0110053,Red Rose White Rose, Hung mooi gwai baak mooi gwai,1994, Drama,7.1,252
461,tt0110054,The New Legend of Shaolin, Hung Hei Kwun: Siu Lam ng zou,1994, Action&Adventure&Comedy,6.4,5368
462,tt0110081,To Live, Huo zhe,1994, Drama&War,8.3,16359
463,tt0110193,Ji mi zhong an zhi zhi ming you huo, Ji mi zhong an zhi zhi ming you huo,1994, Action&Thriller,5.8,30
464,tt0110201,Hail the Judge, Gau ban ji ma goon: Bak min Bau Ching Tin,1994, Comedy,7.5,3406
